IN_FID	NEAR_FID	NEAR_DIST	reserve	vegetation
5814	139	29.54310311840	Bruce Ridge NR	Open Forest
5814	126	28.40056672260	Bruce Ridge NR	Open Forest
5815	76	73.55977027000	Bruce Ridge NR	Open Forest
5815	162	15.71650472820	Bruce Ridge NR	Open Forest
5815	208	38.72641962950	Bruce Ridge NR	Open Forest
5815	219	63.49894948920	Bruce Ridge NR	Open Forest
5816	215	60.93470167690	Bruce Ridge NR	Open Forest
5817	76	55.09994895590	Bruce Ridge NR	Forest
5817	148	79.68822545520	Bruce Ridge NR	Forest
5817	149	77.24839960290	Bruce Ridge NR	Forest
5818	223	24.11372001990	Bruce Ridge NR	Forest
5819	98	5.07466825726	Bruce Ridge NR	Open Forest
5819	139	56.06965543760	Bruce Ridge NR	Open Forest
5820	138	32.28957738890	Bruce Ridge NR	Forest
5820	141	89.33839776880	Bruce Ridge NR	Forest
5821	162	99.88903086650	Bruce Ridge NR	Open Forest
5821	207	82.53248776640	Bruce Ridge NR	Open Forest
5821	208	71.55367396290	Bruce Ridge NR	Open Forest
5821	149	98.64072930060	Bruce Ridge NR	Open Forest
5822	207	67.53564894160	Bruce Ridge NR	Open Forest
5822	208	12.74504331520	Bruce Ridge NR	Open Forest
5822	219	20.22971855580	Bruce Ridge NR	Open Forest
5823	138	58.99595709710	Bruce Ridge NR	Forest
5823	139	28.36771354730	Bruce Ridge NR	Forest
5823	141	87.91184615830	Bruce Ridge NR	Forest
5824	76	85.10367705510	Bruce Ridge NR	Open Forest
5824	162	80.04838772700	Bruce Ridge NR	Open Forest
5824	208	81.81833617690	Bruce Ridge NR	Open Forest
5825	126	69.02806673890	Bruce Ridge NR	Open Forest
5825	183	93.02325031290	Bruce Ridge NR	Open Forest
5826	138	60.33410601290	Bruce Ridge NR	Forest
5826	139	40.04716154930	Bruce Ridge NR	Forest
5826	141	9.80662770783	Bruce Ridge NR	Forest
5827	207	19.74637145980	Bruce Ridge NR	Open Forest
5827	208	14.52015324800	Bruce Ridge NR	Open Forest
5827	219	29.67177075760	Bruce Ridge NR	Open Forest
5828	211	6.34369259064	Bruce Ridge NR	Forest
5829	211	55.49629155220	Bruce Ridge NR	Forest
5829	74	67.74063789230	Bruce Ridge NR	Forest
5829	75	73.46321339850	Bruce Ridge NR	Forest
5830	139	76.56171577150	Bruce Ridge NR	Forest
5830	126	95.74242507220	Bruce Ridge NR	Forest
5831	126	84.05852601360	Bruce Ridge NR	Open Forest
5831	158	1.88510135322	Bruce Ridge NR	Open Forest
5832	138	96.91771067620	Bruce Ridge NR	Forest
5833	138	86.64877674280	Bruce Ridge NR	Open Forest
5833	126	56.17623054890	Bruce Ridge NR	Open Forest
5833	149	70.38339350370	Bruce Ridge NR	Open Forest
5833	164	85.24454041410	Bruce Ridge NR	Open Forest
5833	183	63.25586266950	Bruce Ridge NR	Open Forest
5834	138	62.42855789130	Bruce Ridge NR	Forest
5834	139	67.53282236280	Bruce Ridge NR	Forest
5834	141	89.01790488990	Bruce Ridge NR	Forest
5834	150	72.04113118800	Bruce Ridge NR	Forest
5835	138	83.47216690360	Bruce Ridge NR	Forest
5836	148	94.71564035380	Bruce Ridge NR	Open Forest
5836	207	77.41841815600	Bruce Ridge NR	Open Forest
5836	208	7.14664340258	Bruce Ridge NR	Open Forest
5836	219	40.76338453140	Bruce Ridge NR	Open Forest
5837	98	32.08527061360	Bruce Ridge NR	Open Forest
5837	223	9.38169163603	Bruce Ridge NR	Open Forest
5838	126	86.50325370400	Bruce Ridge NR	Open Forest
5838	158	97.05242525760	Bruce Ridge NR	Open Forest
5838	183	98.01677974090	Bruce Ridge NR	Open Forest
5839	139	57.78708488810	Bruce Ridge NR	Open Forest
5839	126	50.22096221600	Bruce Ridge NR	Open Forest
5840	138	24.54031860160	Bruce Ridge NR	Forest
5840	139	95.95104882710	Bruce Ridge NR	Forest
5840	141	60.80396615250	Bruce Ridge NR	Forest
5841	126	77.72401404780	Bruce Ridge NR	Open Forest
5842	98	52.72286594950	Bruce Ridge NR	Open Forest
5842	223	47.52839813860	Bruce Ridge NR	Open Forest
5843	139	87.00889578910	Bruce Ridge NR	Open Forest
5843	126	95.28039372460	Bruce Ridge NR	Open Forest
5844	139	56.48658120320	Bruce Ridge NR	Open Forest
5845	74	80.40968128940	Bruce Ridge NR	Forest
5846	98	10.07937147120	Bruce Ridge NR	Open Forest
5846	139	40.15584160360	Bruce Ridge NR	Open Forest
5847	211	68.60658488580	Bruce Ridge NR	Woodland
